x,y,color
79.40828883,152.8344238,0
98.04626263,186.9107004,0
240.5789787,48.4736839,1
109.6871832,277.9457691,0
249.626082,229.7533524,1
100.7846999,281.9834916,0
235.3302284,109.5397397,1
262.3520164,64.57463209,1
76.55886416,204.2958429,0
245.5579941,134.5019983,1
77.63620972,276.3744288,0
271.9710915,179.4288139,1
104.6974811,133.6714424,0
85.46275741,235.5649238,0
112.9661899,316.2522879,0
230.44504,80.37598948,1
267.1076023,227.2924827,1
221.9149229,172.9902792,1
260.2375377,295.3374252,1
445.2991133,228.6531338,3
84.19446406,236.1113077,0
254.2207972,106.8700878,1
129.538451,260.5477721,0
126.0935881,185.6223961,0
486.4769173,226.4003953,3
275.9993628,139.6895267,1
76.17945613,328.754499,0
136.9445134,211.8044633,0
114.8703628,177.0620622,0
497.9946415,211.0442796,3
149.248968,216.4248736,0
94.06968974,247.128589,0
258.9208908,160.9046945,1
455.2660444,201.7223072,3
358.8270277,462.5329923,2
269.7548652,180.8304198,1
101.0318245,302.1833275,0
232.9396848,139.1332789,1
85.9355028,190.6008995,0
544.0351224,194.9698019,3
363.1657938,391.2706829,2
291.3333075,101.1446778,1
63.99727287,258.5060444,0
111.9252738,292.1389073,0
108.7264287,219.1187352,0
378.4094055,296.018519,2
411.3168913,370.4521642,2
394.9576067,404.9961186,2
236.8551843,135.2492388,1
100.472229,282.6856036,0
328.7082939,387.1786588,2
84.05968033,244.3149712,0
112.972426,85.45982548,0
124.8148958,134.9862378,0
521.0236095,254.349723,3
94.24452149,171.2398828,0
292.0714056,128.506278,1
106.6780572,171.0871341,0
409.650129,360.3330023,2
235.0692866,107.866209,1
505.4277248,132.539282,3
525.4941125,201.1160466,3
399.2113213,407.5907137,2
508.7877969,204.0447022,3
129.4889909,170.3541864,0
448.4597082,209.0208061,3
530.4106065,287.4715881,3
94.35467831,231.4283339,0
135.0276051,170.5948995,0
84.87633848,159.4981447,0
348.8786942,323.1673194,2
227.4280739,166.2971888,1
377.5321519,421.8577297,2
283.9467375,120.046324,1
302.8523301,88.88155996,1
148.6640428,224.0465115,0
255.6226489,83.28044722,1
500.917169,132.5587478,3
291.1782006,101.7347995,1
132.2298421,252.8870523,0
216.4915931,108.3866816,1
511.9611178,304.7155532,3
444.4379252,141.0676478,3
272.0117257,124.117129,1
510.3463758,216.9688595,3
251.249648,135.480409,1
262.5785971,270.3578231,1
539.3084426,125.2432201,3
162.0216169,169.2582791,0
124.6398852,202.9802605,0
242.3232074,234.8310326,1
240.1500972,219.1965879,1
82.83595635,116.1206363,0
238.7264739,61.20667418,1
350.4438811,400.6758995,2
110.1383627,286.3826291,0
266.8876723,240.3655421,1
247.8125769,153.1335733,1
279.0530257,50.38720296,1
377.9897668,234.9788281,2
492.0785928,220.8164205,3
379.9735868,339.2991999,2
275.2502452,179.0994398,1
107.6124348,335.7783823,0
123.6180477,207.6592339,0
103.3186447,308.9360161,0
246.8241652,88.29179848,1
197.1700545,142.3688618,1
215.2096418,93.26882166,1
411.6032567,377.4811807,2
259.2650541,189.9952943,1
254.4463763,179.3193013,1
363.5200917,324.4895928,2
472.2323703,265.4524542,3
286.0224178,197.381259,1
90.61267119,209.376547,0
96.82843945,150.2392156,0
275.0382826,159.2828287,1
383.6451017,448.2035369,2
238.8974445,69.39093146,1
222.6177941,52.3665003,1
90.84410869,194.7557806,0
319.8273577,333.1885464,2
371.5671521,412.4758671,2
99.71451708,266.850934,0
269.0054168,118.7026051,1
265.0825135,258.207123,1
51.9117659,187.6610037,0
122.1290424,169.9163679,0
492.1339894,330.5649614,3
465.2992682,292.7091727,3
57.44835293,174.6411992,0
97.63836605,91.47406918,0
231.9251212,116.9192586,1
358.4294392,284.3364178,2
391.1206381,299.3330426,2
242.5934108,128.1282554,1
259.4419856,167.6488395,1
105.5169352,182.1890996,0
358.8251553,213.388023,2
95.52330472,206.9946811,0
127.1949263,164.8375264,0
446.2760642,101.3514078,3
238.9825431,224.1692549,1
509.9256114,134.8256291,3
93.21035108,195.494362,0
106.7775832,340.1423818,0
515.2246646,226.9641899,3
56.10175318,289.2138848,0
124.7836049,178.2229671,0
77.94995518,160.34074,0
243.4064726,214.5800889,1
258.7587491,254.1478095,1
384.7859749,391.3541164,2
489.4173859,169.4281779,3
92.85650816,278.2951005,0
78.11337831,238.912602,0
72.24605065,162.6207622,0
494.6316175,84.99323281,3
367.2908148,391.2873478,2
96.56612348,135.408254,0
117.6118941,354.7866288,0
94.69724446,100.52115,0
351.9862298,393.5437379,2
149.8392729,209.1916841,0
120.8632396,228.6670166,0
477.8679116,174.117482,3
521.1431594,368.3586901,3
83.52010195,130.5590977,0
492.515634,58.49408449,3
358.2755335,505.1251151,2
97.81828395,165.051372,0
467.2837,132.4448747,3
100.5830182,329.8617044,0
513.8343592,327.3814781,3
210.823238,121.0358532,1
261.2110461,143.4226601,1
58.48250799,176.287157,0
